Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
41,Gradient Boosting Classifier,24.500220167327168,25.922501100836637,23.37961767960765,24.500220167327168,23.41140925545149,24130.678665785996,4.510310865332252,0.6501425716561519,PCI + GLS,Gradient Boosting Classifier
41,Random Forest Classifier,25.094671950682518,26.737120211360633,18.031271065091367,25.094671950682518,19.54706815111112,24120.111250550417,4.48118620536085,0.6936503076623265,PCI + GLS,Random Forest Classifier
41,Multi-Layer Perceptron (MLP),23.588727432848966,24.76882430647292,21.03953365529272,23.588727432848966,21.61465830445555,24152.088448554234,4.612675635236114,0.5619950771303496,PCI + GLS,Multi-Layer Perceptron (MLP)
41,Gradient Boosting Regressor,19.616908850726553,21.096433289299867,3.8824224313632514,19.616908850726553,6.48198249063503,24261.869264641125,4.855973632118751,0.1100099267058755,PCI + GLS,Gradient Boosting Regressor
41,LightGBM Ranker (LTR),24.88771466314399,26.27476882430647,12.205837877281972,24.88771466314399,15.941404182200317,24121.095251724648,4.524014351584843,0.6895990176955937,PCI + GLS,LightGBM Ranker (LTR)
41,Single Best Solver (SBS: PCI + GLS),19.709379128137382,21.215323645970937,3.8845962561665752,19.709379128137382,6.49004494795431,24288.589123734037,4.9613682571509115,0.0,PCI + GLS,Single Best Solver (SBS)
41,Uniform Random Selection (1/9),11.210920299427565,11.981505944517835,15.884748071526502,11.210920299427565,12.802647444462837,24415.246550711872,6.096578897740752,-0.5214688524417835,PCI + GLS,Uniform Random Selection (1/9)
41,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,23922.487714663144,3.383455663824051,1.50729796286582,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
42,Gradient Boosting Classifier,25.639329805996475,26.98853615520282,25.72104432653885,25.639329805996475,25.2565670640648,22666.119282774842,4.7719525102292435,0.5962723109900723,Christofides + GLS,Gradient Boosting Classifier
42,Random Forest Classifier,24.166666666666668,25.524691358024693,19.5369052113375,24.166666666666668,19.417277311144346,22672.029460611404,4.847953461878006,0.5703528449831275,Christofides + GLS,Random Forest Classifier
42,Multi-Layer Perceptron (MLP),21.57848324514991,22.707231040564373,21.46206316053026,21.57848324514991,20.86600983366651,22719.24971340388,5.060898295727949,0.3632653814685208,Christofides + GLS,Multi-Layer Perceptron (MLP)
42,Gradient Boosting Regressor,19.334215167548503,20.60405643738977,3.7696991333792873,19.334215167548503,6.309249005373037,22808.36718841858,5.260118186943974,-0.027565051751051926,Christofides + GLS,Gradient Boosting Regressor
42,LightGBM Ranker (LTR),27.019400352733687,28.51851851851852,16.706377173217625,27.019400352733687,18.415764978905354,22651.99595091123,4.719163634666108,0.6582110935896525,Christofides + GLS,LightGBM Ranker (LTR)
